0.000948159	0.000869626	0.000407559
0.00163543	0.00151995	0.000579107
0.00261116	0.00229296	0.000703663
0.00350365	0.00324634	0.000849834
0.00415523	0.00378458	0.000932423
0.00570457	0.00570169	0.00123716
0.00589128	0.00696286	0.00145888
0.00784069	0.00904143	0.00180034
0.00793025	0.0100633	0.00195941
0.00948385	0.0156987	0.00228563
0.00901618	0.0169414	0.00208945
0.00901618	0.0169414	0.00208945
0.00901618	0.0169414	0.00208945
0.00901618	0.0169414	0.00208945
0.00901618	0.0169414	0.00208945
0.00901618	0.0169414	0.00208945
